吖	kyaz	口丫
𧭤	yogu	訁日共氺
𧵢	bbcw	貝包
𨇅	zogu	𧾷日共氺
𨚔	berc	包⻏
𨠖	ybcz	酉包
𨰦	jbwb	金宀𤣩⺈小貝
𨰻	jjjj	金金金金
𩊅	gper	革𠂎卩
𩍂	ebfg	⻖勹缶革
𩛞	uvzi	飠爫子
𩬽	egpm	E𠫔彡龴木
𩭼	egpm	E𠫔彡亻口木
𩾡	nucn	鳥勺
𩿓	nnqn	鳥牛
𪏶	hrub	禾人氺包
㓈	duid	冫石
㔨	bboo	勹北⺝
㛝	nbwv	女貝
㣁	gcay	弓卄一丿用
㤳	xbkz	忄不口
㰆	gbfm	𰀉冖非木
㶔	dssd	氵罒罒罒大
㷶	rcah	亻卄一丿用灬
㸢	pcay	片卄一丿用
㸬	nujb	牜十巾
㸽	nbwq	牜貝
㻗	fyuw	非玉
㼎	gwfu	瓜亠父
㽡	tpui	田{卑上}十
㾱	bbee	疒癶二儿
䁅	ozmn	目子皿
䋳	sboo	糹北⺝
䔒	celk	艹⻖立口
䠙	zwbf	𧾷亠丷冖方
䡶	iukx	車尸口辛
䩀	fbww	非貝
䰽	yujb	魚十巾
俻	rwtm	亻夂田
倍	rlkz	亻立口
偝	rboo	亻北⺝
偹	rlwt	亻丨攵田
備	rcay	亻卄一丿用
僃	rcby	亻艹勹用
勃	ubzl	十冖子力
北	lbil	{北左}匕
卑	puip	{卑上}十
备	wtmf	夂田
孛	ubzi	十冖子
庳	gpui	广{卑上}十
悖	xubz	忄十冖子
悲	fxbw	非心
惫	wtxb	夂田心
愂	ubzx	十冖子力心
憊	rcax	亻卄一丿用心
揹	fboo	扌北⺝
昁	oujb	日十巾
杮	mujb	木十巾
杯	mbuu	木不
柸	mpiu	木丕
桮	mbkz	木不口
梖	mbwu	木貝
棑	mfwu	木非
椑	mpui	木{卑上}十
焙	hlkz	火立口
牬	ndiq	牜𠂔
犕	ncay	牜卄一丿用
狈	qbwr	犭贝
狽	qbwr	犭貝
珼	wbwf	𤣩貝
琲	wfwf	𤣩非
盃	bmnu	不皿
碑	upui	石{卑上}十
碚	ulkz	石立口
禙	pboo	礻北⺝
箄	vpui	竹{卑上}十
糒	mcay	米卄一丿用
背	boow	北⺝
臂	ukxo	尸口辛⺝
苝	cbwc	艹北
蓓	crlk	艹亻立口
藣	cssb	艹罒厶⺝匕匕
蛽	ibws	虫貝
被	ppip	衤皮
褙	pboo	衤北⺝
誖	yubz	訁十冖子
諀	ypui	訁{卑上}十
貝	obau	目八
贝	krfl	冂人
軰	biew	北車
輩	fiew	非車
辈	fiew	非车
邶	berw	北⻏
郥	berw	貝⻏
鄁	boer	北⺝⻏
鉳	jbwn	金北
鋇	jbwn	金貝
鐾	ukxj	尸口辛金
钡	jbwn	钅贝
陂	epir	⻖皮
鞁	gpie	革皮
鞞	gpui	革{卑上}十
鞴	gcay	革卄一丿用
骳	gopi	冎⺼皮
鵯	punn	{卑上}十鳥
鹎	punn	{卑上}十鸟
𠋭	rsak	亻厶一𫶧口
𠐡	rfie	亻非車
𠢥	fbli	弗貝力
𡋭	bbtu	北冖土
𡥞	vbzi	爫冖子
𡰯	ujbi	尸巾
𢂏	ujuj	十巾十巾
𢃍	jpui	巾{卑上}十
𢴾	ffxb	扌非心
𢻵	ujby	十巾⺊又
𣎵	urll	山𠆢丨
𣖾	mcay	木卄一丿用
𣝁	mvpu	木竹{卑上}十
𣬍	ctbb	⺿田匕匕
𣬪	ujmc	十巾毛
𤜲	ujqr	十巾犬
𤰈	cbys	艹勹用
𤳦	tttd	田田田大
𤵛	bpik	疒丕
𤷁	bbtu	疒不土
𤷒	btpu	疒田丿十
𤹲	bgtm	疒共田
𤿒	pnwi	皮內
𤿾	pupi	{卑上}十皮
𥏓	uocc	矢日廾
𥶓	vssb	竹罒厶⺝匕匕
𦈧	fbuz	缶不
𦈶	fbkz	缶不口
𦩖	vpui	舟{卑上}十
𦮷	cbwc	艹貝
𦾙	cfuu	艹扌十卄大十
𧉥	bisw	北虫
𧋲	wbis	亠北虫
𧶙	bdbw	北⺈貝
𧼠	tzpu	土龰{卑上}十
𨚍	bber	匕匕⻏
𩇩	dfwa	大非
𩔹	pypu	彡頁{卑上}十
𩖠	fnvg	風女
𩚾	brdg	北𠆢丶艮
㡷	gbfl	广本
㤓	xbfb	忄本
㨧	fsdt	扌厶大田
㮺	bkkk	本口口口
㱵	ducb	歹十廾貝
䬱	ubfi	飠本
倴	rduc	亻大十廾
喯	kduc	口大十廾
坋	tffu	土分
坌	ftuf	分土
夯	dlia	大力
夲	duia	大十
奔	ducc	大十廾
奙	sddm	厶大电
捹	fduc	扌大十廾
撪	fsdi	扌厶大車
本	maau	木一
栟	mbkd	木丷开
桳	msdu	木厶大十
楍	mkkk	木口口口
泍	dbfd	氵本
渀	dduc	氵大十廾
漰	duoo	氵山月月
炃	fhof	分火
犇	nnnq	牛牜牛
畚	sdtm	厶大田
笨	vbfu	竹本
翉	bxxi	本习习
苯	cbfc	艹本
蟦	iucb	虫十廾貝
賁	ucbw	十廾貝
贲	ucbw	十廾贝
逩	zduc	辶大十廾
錛	jduc	金大十廾
锛	jduc	钅大十廾
𡗢	dfga	大㐄
𡗲	djba	大斤
𣄏	fsdt	方厶大田
𣳰	dmui	氵木十
𣴞	dftu	氵分土
𥢊	hucb	禾十廾貝
𦯀	cftu	艹分土
𨋒	iscc	車厶廾
𩣺	mduc	馬大十廾
𩰶	gwjr	鬲亠{丩}人
𪊜	lbfu	鹿本
𪎝	gmmb	广木木本
𪑖	lhdc	{里}灬大十廾
㑟	rqba	亻丘八
㱶	dtkp	歹士口䒑彡
㷯	htif	火土𡗗𰀁
䋽	sttc	糹土土寸
䙀	pooo	衤月月
䨻	ytyt	雨田雨田雨田雨田
䩬	gifg	革𡗗𰀁
䭰	hoif	禾日𡗗𰀁
䳞	ifnn	𡗗𰀁鳥
伻	rpkf	亻平
嗙	kwbf	口亠丷冖方
嘣	kuoo	口山月月
埄	twfg	土夂丰
埲	tifg	土𡗗𰀁
堋	tooo	土月月
塴	tuoo	土山月月
奟	dooo	大月月
崩	uooo	山月月
嵭	uwbf	山亠丷冖方
揼	fuuv	扌石水
泵	uuvi	石水
琣	wlkz	𤣩立口
琫	wifg	𤣩𡗗𰀁
甏	tkbw	士口䒑彡瓦
甭	bysu	不用
甮	wysu	勿用
痭	booo	疒月月
祊	pfhp	礻方
絣	sbkd	糹丷开
綳	sooo	糹月月
繃	suoo	糹山月月
绷	sooo	纟月月
菶	cifg	艹𡗗𰀁
跰	zbkd	𧾷丷开
蹦	zuoo	𧾷山月月
迸	zbkd	辶丷开
逬	zpgg	辶丿干丿干
鏰	juoo	金山月月
镚	juoo	钅山月月
閍	mfhf	門方
鞛	glkz	革立口
𠜳	oodc	月月刂
𠡮	ooli	月月力
𡎾	tboo	土勹月月
𡡈	nuoo	女山月月
𡶤	uysj	山用
𡾛	ugbk	山鬼丷开
𢆸	vyyc	𠃊幺幺
𢉁	gooo	广月月
𢏳	gbkd	弓丷开
𢐒	guoo	弓山月月
𣂤	oojb	月月斤
𣨥	dooo	歹月月
𤙾	npgg	牜丿干丿干
𤡭	qtkp	犭士口䒑彡
𤫬	gfgx	瓜丰
𥖗	tkbu	士口䒑殳石
𥛱	tkbu	士口䒑彡示
𥞩	hbkd	禾丷开
𥦜	bboo	宀八月月
𦂌	ttcx	土土寸糸
𦅈	stkp	糹士口䒑彡
𦝷	oubk	⺼尸丷开
𦺑	clkm	艹立口毛
𧑑	icif	虫艹𡗗𰀁
𧚭	ppgg	衤丿干丿干
𧩱	yubk	訁尸丷开
𧻓	tzbk	土龰丷开
𨆊	tkbz	士口䒑支足
𨓁	zyyc	辶幺幺
𨕧	zyyk	辶幺幺开
𨹹	eooo	⻖月月
𨻱	euoo	⻖山月月
𩂦	ybkd	雨丷开
𩊌	glie	革立
𩑚	fyeg	丰頁
𩗴	fifg	風𡗗𰀁
𪔑	tkbu	士口䒑支石
㓖	dtcf	冫田艹𰀁
㗉	fdwk	丰刀夂口
㗊	kkkk	口口口口
㘠	kbiz	囗必
㘩	tbbi	土匕匕
㙄	tbbt	土匕匕土
㚕	dfua	大弗
㚰	npiv	女丕
㠲	jbib	巾匕
㡀	xkxn	⺌冂小
㡙	jpkb	巾丿囗㐅匕匕
㢰	gpis	弓皮
㢶	gbds	弓百
㢸	ggwf	弓弓攵
㧙	fbiu	扌必
㪏	puby	{卑上}十⺊又
㪤	tcfw	田艹𰀁攵
㮰	mpkb	木丿囗㐅匕匕
㮿	mtcf	木田艹𰀁
㯇	mftu	木非土
㱸	dukx	歹尸口辛
㳼	gkau	戈口{一}水
㵥	dbbm	氵宀必皿
㵨	ukxu	尸口辛水
㹃	fnqw	非牛
㻫	wtcf	𤣩田艹𰀁
㻶	wvyu	𤣩竹聿
㿫	bbpi	匕匕皮
䀣	obiu	目必
䁹	oukx	目尸口辛
䃾	pbbi	礻匕匕
䄶	hfue	禾弗
䇷	vkld	竹口力刂
䉾	bmiw	北米
䊧	mfbw	米弗貝
䋔	spii	糹丕
䌟	sukx	糹尸口辛
䎵	ebir	耳必
䏢	opio	⺼皮
䏶	obbt	⺼匕匕土
䕗	cztw	艹自田丌
䖩	ibis	虫必
䘡	bbyi	匕匕衣
䟆	tztf	土龰田艹𰀁
䟤	zbiu	𧾷必
䠋	zpui	𧾷{卑上}十
䣥	ybiz	酉匕
䦘	mgff	門艮
䧗	epow	⻖𠂉日夂
䨆	xkxv	⺌冂小攵亻{隹右}
䩛	gbie	革必
䪐	wkfb	𫝀口㐄必
䫁	zyei	自頁
䫾	fbig	風必
䬛	ftcf	風田艹𰀁
䭮	egpz	E𠫔彡丷一自
䮡	mpow	馬𠂉日夂
䯗	gobt	冎⺼匕匕土
䵄	lwqb	來{夊}曲一口䒑
佊	rpif	亻皮
佖	rbif	亻必
佛	rfuf	亻弗
俾	rpui	亻{卑上}十
偪	rakt	亻{一}口田
匕	pvvp	丿乚
吡	kbbi	口匕匕
咇	kbiz	口必
哔	kbbu	口匕匕十
啚	kwkk	口亠囗口
嗶	ktcf	口田艹𰀁
坒	bbtu	匕匕土
堛	takt	土{一}口田
壁	ukxt	尸口辛土
夶	ddaa	大大
奰	sssd	罒罒罒大
妣	nbbi	女匕匕
妼	nbiv	女必
娝	nbkz	女不口
婢	npui	女{卑上}十
嬖	ukxn	尸口辛女
嬶	nztw	女自田丌
屄	ubba	尸宀八
崥	upui	山{卑上}十
币	pjbp	丿巾
幣	xkxj	⺌冂小攵巾
幤	xkkj	⺌冂口攵巾
庇	gbbi	广匕匕
廦	gukx	广尸口辛
弊	xkxc	⺌冂小攵廾
弻	ggxi	弓弓㐁
弼	ggbd	弓弓百
彃	gtcf	弓田艹𰀁
彼	rpif	彳皮
必	xppb	心丿
怭	xbib	忄必
怶	xpib	忄皮
愊	xakt	忄{一}口田
愎	xpow	忄𠂉日夂
拂	ffuu	扌弗
敝	xkxw	⺌冂小攵
斃	xkxb	⺌冂小攵歹匕
旇	fppi	方𠂉皮
朇	raku	𠆢一囗⺌日{卑上}十
朼	mbiu	木匕
柀	mpiu	木皮
柲	mbiu	木必
梐	mbbt	木匕匕土
楅	makt	木{一}口田
榌	mfwu	木飛
比	bbii	匕匕
毕	bbui	匕匕十
毖	bbbi	匕匕必
毙	bbdb	匕匕歹匕
毞	bbmc	匕匕毛
毴	mfwc	毛非
沘	dbbi	氵匕匕
泌	dbid	氵必
湢	dakt	氵{一}口田
滗	dvmc	氵竹毛
滭	dtcf	氵田艹𰀁
潷	dvyu	氵竹聿
濞	dztw	氵自田丌
煏	hakt	火{一}口田
熚	htcf	火田艹𰀁
狴	qbbt	犭匕匕土
獘	xkxq	⺌冂小攵犬
獙	qxkw	犭⺌冂小攵
珌	wbif	𤣩必
璧	ukxy	尸口辛玉
畀	twum	田丌
畁	ywuz	由丌
畐	aktm	{一}口田
畢	tcfg	田艹𰀁
疕	bbik	疒匕
疪	bbbi	疒匕匕
痹	btwu	疒田丌
痺	bpui	疒{卑上}十
皀	bbid	白匕
皕	bbdd	百百
睤	otwu	目田丌
睥	opui	目{卑上}十
碧	wbui	𤣩白石
祕	pbip	礻必
禆	ppui	礻{卑上}十
秕	hbbi	禾匕匕
秘	hbie	禾必
稫	hakt	禾{一}口田
笓	vbbi	竹匕匕
笔	vmcu	竹毛
筆	vyuu	竹聿
筚	vbbu	竹匕匕十
箅	vtwu	竹田丌
箆	vkrb	竹冂人匕匕
篦	vpkb	竹丿囗㐅匕匕
篳	vtcf	竹田艹𰀁
粃	mbbi	米匕匕
粊	bbmi	匕匕米
紕	sbbi	糹匕匕
紴	spii	糹皮
綼	spui	糹{卑上}十
縪	stcf	糹田艹𰀁
繴	ukxx	尸口辛糸
纰	sbbi	纟匕匕
罼	stcf	罒田艹𰀁
翍	xxpi	习习皮
聛	epui	耳{卑上}十
肶	obbi	⺼匕匕
胇	ofuo	⺼弗
腷	oakt	⺼{一}口田
舭	vbbi	舟匕匕
芘	cbbi	艹匕匕
苾	cbic	艹必
荜	cbbu	艹匕匕十
荸	cubz	艹十冖子
萆	cpui	艹{卑上}十
萞	ckrb	艹冂人匕匕
蓖	cpkb	艹丿囗㐅匕匕
蓽	ctcf	艹田艹𰀁
蔽	cxkw	艹⺌冂小攵
薜	cukx	艹尸口辛
蜌	ibbt	虫匕匕土
螕	ipkb	虫丿囗㐅匕匕
袐	pbip	衤必
裨	ppui	衤{卑上}十
襅	ptcf	衤田艹𰀁
襞	ukxy	尸口辛衣
襣	pztw	衤自田丌
觱	waky	戊{一}口⺈用
詖	ypij	訁皮
诐	ypij	讠皮
豍	dpui	豆{卑上}十
貏	vpui	豸{卑上}十
貱	bpiw	貝皮
贔	bbbw	貝貝貝
赑	bbbw	贝贝贝
跸	zbbu	𧾷匕匕十
蹕	ztcf	𧾷田艹𰀁
躃	zukx	𧾷尸口辛
躄	ukxz	尸口辛足
辟	ukxb	尸口辛
逼	zakt	辶{一}口田
避	zukx	辶尸口辛
邲	beri	必⻏
鄙	kwke	口亠囗口⻏
鄨	xkxb	⺌冂小攵口巴
鄪	fber	弗貝⻏
鉍	jbin	金必
鎞	jpkb	金丿囗㐅匕匕
鏎	jtcf	金田艹𰀁
鐴	jukx	金尸口辛
铋	jbin	钅必
閇	mxxf	門下
閈	mgjf	門干
閉	mcdf	門才
閟	mbif	門必
闬	mgjf	门干
闭	mcdf	门才
陛	ebbt	⻖匕匕土
鞸	gtcf	革田艹𰀁
韠	wkff	𫝀口㐄田艹𰀁
飶	ubii	飠必
饆	utcf	飠田艹𰀁
馝	hobi	禾日必
駜	mbia	馬必
驆	mtcf	馬田艹𰀁
髀	gopu	冎⺼{卑上}十
髲	egpp	E𠫔彡皮
魓	gtcf	鬼田艹𰀁
鮅	ybiu	魚必
鰏	yakt	魚{一}口田
鲾	yakt	鱼{一}口田
鵖	gnnf	{艮}鳥
鶝	aktn	{一}口田鳥
鷝	tcfn	田艹𰀁鳥
鷩	xkxn	⺌冂小攵鳥
鼊	ukxd	尸口辛口电
鼻	ztwu	自田丌
𠈺	rbbt	亻匕匕土
𠋯	rvjq	亻爫臼
𠓷	rdxx	入大乂乂乂乂
𠛡	bdci	必刂
𠡂	fliu	弗力
𠦈	juik	井十
𠧅	gkpu	冎口{卑上}十
𠨘	beri	必卩
𠩿	ijac	厂甲一卄
𠬈	qpui	去{卑上}十
𠮃	ukxy	尸口辛又
𠽩	kvyu	口竹聿
𡚁	xkxd	⺌冂小攵大
𡛗	bbnv	匕匕女
𡠚	ntcf	女田艹𰀁
𡳄	ukwk	尸口亠囗口
𡻞	utcf	山田艹𰀁
𡽶	uztw	山自田丌
𢁽	jbib	巾必
𢅩	jssb	巾罒厶⺝匕匕
𢍁	yccz	由廾
𢐦	ukxg	尸口辛弓
𢖬	xbib	忄匕
𢘍	fxbu	弗心
𢞗	xpkb	忄丿囗㐅匕匕
𢟵	xftu	忄非土
𢡅	xfmu	忄非木
𢩒	hoba	戶⺼巴
𢲾	fmcd	扌門才
𢳋	fgpu	扌广{卑上}十
𢴩	fvyu	扌竹聿
𣁉	bwfi	必文
𣁢	xkxw	⺌冂小攵文
𣋹	oxkc	日⺌冂小攵廾
𣔓	mrpi	木彳皮
𣕾	mmbi	木木必
𣘥	mmcd	木門才
𣚡	mfmu	木非木
𣝍	mcfc	木艹甫寸
𣢠	bqmi	必欠
𣥣	vpii	止皮
𣦇	vpow	止𠂉日夂
𣦢	ukxv	尸口辛止
𣩩	ukxd	尸口辛歹
𣮐	mpui	毛{卑上}十
𣯴	mtcf	毛田艹𰀁
𣴨	dbdd	氵𦣻
𤂀	dcjt	氵廿巾入入天
𤅹	dsdd	氵罒大罒大罒大
𤐙	hukx	火尸口辛
𤗚	pakt	片{一}口田
𤙞	nbbt	牜匕匕土
𤜻	qbbi	犭匕匕
𤝸	qmir	犭米
𤠺	qtcf	犭田艹𰀁
𤡝	qftu	犭非土
𤢣	qukx	犭尸口辛
𤵘	bbik	疒必
𤹝	btcf	疒田艹𰀁
𤹦	bkwk	疒口亠囗口
𤻖	bztw	疒自田丌
𤽊	bbbi	白匕匕
𥆯	obbt	目匕匕土
𥈗	oyeu	目頁
𥏠	upui	矢{卑上}十
𥛘	utcf	示田艹𰀁
𥟗	hywu	禾由丌
𥢦	hwth	禾夂田灬
𥳆	vxkw	竹⺌冂小攵
𥴬	vukx	竹尸口辛
𦀘	sbbt	糹匕匕土
𦂖	sycc	糹甶廾
𦑞	xxat	习习{一}口田
𦔆	lakt	耒{一}口田
𦠞	xkxo	⺌冂小攵⺼
𦤫	zztw	自自田丌
𦭼	cvyz	艹爫又
𦯛	cckr	艹廾冂人
𦰙	ccbb	艹廾匕匕
𦱔	cobb	艹⺼匕匕
𦳈	ctbb	艹田匕匕
𦸣	cgpu	艹广{卑上}十
𧏻	itcf	虫田艹𰀁
𧒀	ixkw	虫⺌冂小攵
𧓄	iukx	虫尸口辛
𧓎	puii	{卑上}十虫虫
𧝬	xkxy	⺌冂小攵衣
𧤃	dytw	⺈用田丌
𧥑	gkay	戈口{一}{或}⺈用
𧫤	ytcf	訁田艹𰀁
𧲜	ukxu	尸口辛{⺈丿口}𧰨
𧳠	vtwu	豸田丌
𧼱	tzpw	土龰𠂉日夂
𨅗	zvyu	𧾷竹聿
𨋥	ifue	車弗
𨋩	irqr	車亻犬
𨐨	ukxj	尸口辛井
𨚓	feru	弗⻏
𨟵	ybbi	酉匕匕
𨠔	ybiz	酉必
𨲋	egpu	E𠫔{卑上}十
𨳲	mwbo	門亠卜
𨵰	mxxx	門下下下
𨸼	ebir	⻖必
𨻀	epkb	⻖丿囗㐅匕匕
𨻼	eftu	⻖非土
𩉫	gbbi	革匕匕
𩊰	gbbt	革匕匕土
𩏂	wkfu	𫝀口㐄{卑上}十
𩑻	byed	白頁
𩣚	mbkz	馬不口
𩪖	gotf	冎⺼田艹𰀁
𩪧	goux	冎⺼尸口辛
𩯃	egpb	E𠫔彡弗貝
𩲢	gpiv	鬼皮
𩾳	ngdn	鳥丏
𪋜	ltcf	鹿田艹𰀁
𪌄	lwsi	來{夊}巳
𪍪	lwtf	來{夊}田艹𰀁
𪏺	hrub	禾人氺必
𪐄	hruu	禾人氺{卑上}十
㝸	xber	小白儿
㣐	bupp	白水彡
㦚	xxxb	辛心辛
㭓	mscc	木厶廾
㲢	hkcm	户冂卄毛
㳎	dscc	氵厶廾
㴜	dhkc	氵户冂卄
㵷	xdxb	辛氵辛
㺹	wscc	𤣩厶廾
䁵	osay	目⺫一口𧘇
䉸	vxxk	竹辛辛亠二口
䒪	cscc	艹厶廾
䛒	gkwk	工丂亠二口
䡢	ihkc	車户冂卄
䪻	scye	厶廾頁
便	rggf	亻更
匾	khkc	匚户冂卄
卞	wbof	亠卜
变	wbyz	亠{亦下}又
変	wbwf	亠{亦下}夂
峅	uscc	山厶廾
弁	scci	厶廾
徧	rhkc	彳户冂卄
忭	xwbo	忄亠卜
惼	xhkc	忄户冂卄
扁	hkcc	户冂卄
抃	fwbo	扌亠卜
揙	fhkc	扌户冂卄
昪	oscc	日厶廾
汳	diyz	氵𠂆又
汴	dwbo	氵亠卜
炞	hwbo	火亠卜
煸	hhkc	火户冂卄
牑	phkc	片户冂卄
猵	qhkc	犭户冂卄
獱	qbab	犭宀一𣥂貝
玣	wwbo	𤣩亠卜
甂	hkcw	户冂卄瓦
疺	bfak	疒乏
砭	ufai	石乏
碥	uhkc	石户冂卄
稨	hhkc	禾户冂卄
窆	bbfa	宀八乏
笾	vzli	竹辶力
箯	vrgg	竹亻更
籓	vdct	竹氵釆田
籩	vzzf	竹辶自宀八方
糄	mhkc	米户冂卄
編	shkc	糹户冂卄
緶	srgg	糹亻更
缏	srgg	纟亻更
编	shkc	纟户冂卄
臱	zbbf	自宀八方
艑	vhkc	舟户冂卄
苄	cwbo	艹亠卜
萹	chkc	艹户冂卄
藊	chhc	艹禾户冂卄
蝙	ihkc	虫户冂卄
褊	phkc	衤户冂卄
覍	xjmn	小見
覵	mojm	門月見
諚	ybaz	訁宀一龰
變	xwew	糸亠二口糸攵
貶	bfaw	貝乏
贬	bfaw	贝乏
辡	xxbb	辛辛
辧	xxdc	辛辛刀
辨	xxll	辛辛リ
辩	xxyj	辛辛讠
辫	xxsi	辛辛纟
辮	xxxi	辛辛糸
辯	xxwk	辛辛亠二口
边	zliz	辶力
辺	zdcz	辶刀
遍	zhkc	辶户冂卄
邉	zzbk	辶自宀八口
邊	zzbf	辶自宀八方
釆	vmux	爫木
鍽	jhkc	金户冂卄
閞	mscc	門厶廾
鞕	ggge	革更
鞭	grgg	革亻更
鯾	yrgg	魚亻更
鯿	yhkc	魚户冂卄
鳊	yhkc	鱼户冂卄
鴘	scnn	厶廾鳥
鶣	hkcn	户冂卄鳥
𠐈	rzbf	亻自宀八方
𠑟	rzzf	亻辶自宀八方
𠓫	rqba	入丘八
𠪂	ihkc	厂户冂卄
𠭹	bbyy	⺊貝又又
𠯴	kwbo	口亠卜
𠷖	kbbf	口宀八乏
𡈯	bkkb	不囗口貝
𡊅	sctu	厶廾土
𡬯	jcyq	𦥔寸
𡬲	vocy	巛目寸
𡬸	vjcy	巛𦥑寸
𢩟	drrc	大人人户冂卄
𢬵	fwsc	扌亠厶廾
𢭥	ujuz	手⺇手
𢴂	fkhc	扌匚户冂卄
𢻶	rdvy	𠆢丶㇇⺊又
𣈠	osdc	日厶大廾
𣝜	skmc	厶口木户冂卄
𣩀	dhkc	歹户冂卄
𣪭	fouu	龶目殳
𣸇	drgg	氵亻更
𤀫	dxxb	氵辛辛
𤀲	xxuv	辛辛水
𤄺	dzzf	氵辶自宀八方
𤺇	brhc	疒彳户冂卄
𤻶	bshc	疒糹户冂卄
𥍚	oxww	目糸亠二口糸攵
𥣝	hhkh	禾户冂卄禾
𥣰	hzbf	禾自宀八方
𥿋	sscc	糹厶廾
𦇭	szbk	糹辶白宀八口
𦉙	fgkh	缶广コ〢㇉一灬
𦟣	opkw	⺼丿囗㐅儿夊
𦽟	czhc	艹辶户冂卄
𧩰	ybbv	訁宀八之
𧸘	brar	貝𠆢一口口人人
𨖠	zihc	辶𠂆户冂卄
𨖾	zsxi	辶糹糸
𨚕	scer	厶廾⻏
𨥧	jfan	金乏
𨧕	jwek	金亠二口
𨩫	jrgg	金亻更
𩩯	gohc	冎⺼户冂卄
𩰍	mwbo	鬥亠卜
𪉱	vxdc	占㐅丶丶丶丶户冂卄
𪏗	cayc	卄一由八户冂卄
𪓍	mbyx	民⺊又业⺌冂小
𪖯	ztwc	自田丌户冂卄
㟽	uxui	山覀示
㠒	uxud	山覀示刂
㧼	ffyi	扌龶𧘇
㯱	gbmf	𰀉冖木缶
㯹	mxuc	木覀示寸
䔸	cqqq	艹犬犬犬
䞄	fpyb	方𠂉也貝
䮽	mlho	馬鹿灬
俵	rfyi	亻龶𧘇
僄	rxui	亻覀示
儦	rlho	亻鹿灬
墂	txui	土覀示
婊	nfyi	女龶𧘇
嫑	bxnv	不覀女
幖	jxui	巾覀示
彪	hjpp	虍几彡
摽	fxui	扌覀示
杓	mucu	木勺
标	muiu	木示
標	mxui	木覀示
檦	mxud	木覀示刂
淲	dhji	氵虍几
滮	dhjp	氵虍几彡
瀌	dlho	氵鹿灬
灬	dddd	丶丶丶丶
熛	hxui	火覀示
爂	jkah	𦥑冂{一}口冖火
猋	qqqr	犬犬犬
瘭	bxui	疒覀示
磦	uxui	石覀示
穮	hlho	禾鹿灬
篻	vxui	竹覀示
脿	ofyi	⺼龶𧘇
膔	oluo	⺼鹿
膘	oxui	⺼覀示
臕	olho	⺼鹿灬
蔈	cxui	艹覀示
藨	clho	艹鹿灬
表	fyig	龶𧘇
裱	pfyi	衤龶𧘇
褾	pxui	衤覀示
諘	yfyi	訁龶𧘇
謤	yxui	訁覀示
贆	bqqq	貝犬犬犬
錶	jfyi	金龶𧘇
鏢	jxui	金覀示
鑣	jlho	金鹿灬
镖	jxui	钅覀示
镳	jlho	钅鹿灬
颩	fppg	風彡
颮	fbcg	風包
颷	fhho	風火火
飆	qqqf	犬犬犬風
飇	fqqq	風犬犬犬
飈	fhhh	風火火火
飊	hhhf	火火火風
飑	fbcg	风包
飙	qqqf	犬犬犬风
飚	fhhh	风火火火
驫	mmma	馬馬馬
骉	mmma	马马马
骠	mxui	马覀示
髟	egpp	E𠫔彡
鳔	yxui	鱼覀示
麃	lhou	鹿灬
𠔂	dbac	刂八
𠚠	kobv	凵日勹止日勹止
𠬪	vyzx	爫又
𢅚	jxud	巾覀示刂
𢒯	khjp	口虍巾彡
𢿏	xuby	覀示⺊又
𣄠	fpqq	方𠂉犬犬犬
𤂆	dvzj	氵爫子虍几
𤆀	dmmm	氵馬馬馬
𤐫	jpkh	臼丿囗㐅一火
𥘤	uuci	示少
𥲦	vxdb	竹覀大丷
𦔗	lgks	耒广コ〢厶厶
𦔩	llho	耒鹿灬
𦠎	oqqq	⺼犬犬犬
𦾑	cxud	艹覀示刂
𧝪	pxtc	衤覀土寸
𧥍	dylh	⺈用鹿灬
𧳀	vvuj	豸巛山
𧴎	vvvv	豸止止止
𧴕	vxxx	豸心心心
𨭚	jxud	金覀示刂
𩪊	goxu	冎⺼覀示
𩴩	ghhh	鬼火火火
𩽁	ylho	魚鹿灬
㢼	gxkx	弓⺌冂小
㿜	bzrc	疒自𠆢一口口口冂卄
䉲	vgab	竹弓{一}巾乂乂乂乂八
䋢	fjxi	扌斤糸
䏟	obio	⺼必
䠥	zxkw	𧾷⺌冂小攵
䭱	hoxx	禾日⺌冂小
別	kddc	口{⺈}刂
别	kldc	口力刂
彆	xkxg	⺌冂小攵弓
徶	rwxx	彳攵⺌冂小
憋	xkxx	⺌冂小攵心
瘪	bzly	疒自仑
癟	bzrc	疒自𠆢一冂卄
莂	ckdd	艹口{⺈}刂
虌	cxkd	艹⺌冂小攵口电
蛂	iudy	虫𠂇丶又
蟞	xkxi	⺌冂小攵虫
襒	pxkw	衤⺌冂小攵
蹩	xkxz	⺌冂小攵足
鱉	xkxy	⺌冂小攵魚
鳖	xkxy	⺌冂小攵鱼
鼈	xkxd	⺌冂小攵口电
龞	xkxg	⺌冂小攵龜
𠍯	rxkw	亻⺌冂小攵
𡐞	xkxt	⺌冂小攵土
𡘴	dxkx	大⺌冂小
𡙀	xkxd	⺌冂小夨
𡙪	xkug	𭕄冂水夬
𡷘	ukdd	山口{⺈}刂
𢆣	bkww	丷开亠亻{夜右下}
𢐳	gckx	弓艹冂丨乂乂乂乂
𢛎	xxkx	忄⺌冂小
𢠳	xxkw	忄⺌冂小攵
𣇢	oxkx	日⺌冂小
𣊶	oxkw	日⺌冂小攵
𤉤	hxkx	火⺌冂小
